campaign_id,test_store,control_store,pymc_percentage_diff,z_score_perc_diff_equivalent
WOW20014359_2,5635.0,2664.0,2.2,
WOW20014359_2,5639.0,1402.0,7.5,
WOW20014359_2,5642.0,3129.0,6.2,
WOW20014359_2,5648.0,1633.0,5.0,
WOW20014359_2,5653.0,3055.0,6.4,
WOW20014359_2,5654.0,5301.0,4.1,
WOW20014359_2,5657.0,1259.0,9.9,
WOW20014359_2,5673.0,3343.0,5.5,
WOW20014359_2,5677.0,3940.0,3.7,
WOW20014359_2,5682.0,5622.0,4.2,
WOW20014359_2,5731.0,3145.0,13.0,
WOW20014359_2,5798.0,2524.0,5.6,
WOW20014359_2,5901.0,3343.0,2.1,
WOW20014359_2,5945.0,2515.0,5.0,
WOW20014359_2,7003.0,3240.0,5.6,
WOW20014359_2,7004.0,5630.0,4.6,
WOW20014359_2,7005.0,3119.0,3.2,
WOW20014359_2,7010.0,2601.0,5.1,
WOW20014359_2,7202.0,4384.0,6.8,
WOW20014359_2,7203.0,1401.0,31.7,
WOW20014359_2,7215.0,3337.0,2.4,
WOW20014359_2,7220.0,5676.0,4.1,
WOW20014359_2,7582.0,1323.0,5.0,
